zip,address,is_active,city,sam_uei,name,county,ein,state,type,id,created_date,updated_date,created_by_id,created_by,is_sample
"68508","575 S 10th St","true","Lincoln","LINCOLN005NEB","City of Lincoln Emergency Management","Lancaster","47-6000198","NE","Municipality","6a02103b9f78b27b0b54cdbb","2026-05-11T17:22:03.623000","2026-05-11T17:22:03.623000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"68508","233 S 13th St","true","Lincoln","NNSC004NEB","Nebraska Nonprofit Safety Coalition","Lancaster","47-1234567","NE","Nonprofit","6a02103b9f78b27b0b54cdba","2026-05-11T17:22:03.623000","2026-05-11T17:22:03.623000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"68183","1819 Farnam St","true","Omaha","OMAHA002NEB","City of Omaha Emergency Management","Douglas","47-6000302","NE","Municipality","6a02103b9f78b27b0b54cdb8","2026-05-11T17:22:03.622000","2026-05-11T17:22:03.622000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"68508","1300 Military Rd","true","Lincoln","NEMA001NEB","Nebraska Emergency Management Agency","Lancaster","47-6000534","NE","County","6a02103b9f78b27b0b54cdb7","2026-05-11T17:22:03.622000","2026-05-11T17:22:03.622000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"68164","2111 N 117th Ave","true","Omaha","DOUGLAS003NEB","Douglas County Emergency Management","Douglas","47-6000710","NE","County","6a02103b9f78b27b0b54cdb9","2026-05-11T17:22:03.622000","2026-05-11T17:22:03.622000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"60601","77 W Wacker Dr","true","Chicago","INSA004JKL","Illinois Nonprofit Safety Alliance","Cook","35-1234890","IL","Nonprofit","6a01c92862c4a2cbad8c59a4","2026-05-11T12:18:48.660000","2026-05-11T12:18:48.660000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"60505","44 E Downer Pl","true","Aurora","AURORA005MNO","City of Aurora","Kane","36-6005100","IL","Municipality","6a01c92862c4a2cbad8c59a5","2026-05-11T12:18:48.660000","2026-05-11T12:18:48.660000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"60187","421 N County Farm Rd","true","Wheaton","DUPAGE001ABC","DuPage County Emergency Management","DuPage","36-6006800","IL","County","6a01c92862c4a2cbad8c59a1","2026-05-11T12:18:48.660000","2026-05-11T12:18:48.660000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"46307","2293 N Main St","true","Crown Point","LAKE003GHI","Lake County EMA","Lake","36-6006712","IN","County","6a01c92862c4a2cbad8c59a3","2026-05-11T12:18:48.660000","2026-05-11T12:18:48.660000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"61104","425 E State St","true","Rockford","ROCKFD002DEF","City of Rockford","Winnebago","36-6005950","IL","Municipality","6a01c92862c4a2cbad8c59a2","2026-05-11T12:18:48.660000","2026-05-11T12:18:48.660000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"62701","301 S 7th St","true","Springfield","SPFLD123ABC456","City of Springfield","","37-6000511","IL","Municipality","69fe0c440848d7e9a5d06bc9","2026-05-08T16:16:04.856000","2026-05-08T16:16:12.913000","69fe0ba7b68d9b12e3d6f2f6","martlaur85@gmail.com","false"
"60102","711 Treeline drive","true","Algonquin","","McHenry County","McHenry","09-5265704","IL","County","69cd8207ac8e695b2f134b65","2026-04-01T20:37:27.040000","2026-04-29T22:18:42.583000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"62701","301 S 7th St","true","Springfield","SPFLD123ABC456","City of Springfield","Sangamon","37-6000511","IL","Municipality","69cd7871276f3069e72bfa40","2026-04-01T19:56:33.908000","2026-04-01T19:56:33.908000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"60602","69 W Washington St","true","Chicago","COOK789DEF012","Cook County Office of Emergency Management","Cook","36-6006580","IL","County","69cd7871276f3069e72bfa41","2026-04-01T19:56:33.908000","2026-04-01T19:56:33.908000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"61602","100 Tribal Way","true","Peoria","TRIBE345GHI678","Illinois Tribal Council","Peoria","37-1234567","IL","Tribe","69cd7871276f3069e72bfa42","2026-04-01T19:56:33.908000","2026-04-01T19:56:33.908000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
