period_end,program_code,period_start,due_date,application_number,organization_name,report_type,application_id,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"2025-12-31","UASI","2025-10-01","2026-01-15","APP-2025-NE-002","City of Omaha Emergency Management","Quarterly","6a0210609f78b27b0b54cdc8","Approved","6a0210989f78b27b0b54cdfe","2026-05-11T17:23:36.710000","2026-05-11T17:23:36.710000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2026-09-30","EMPG","2026-07-01","2026-10-15","APP-2026-NE-003","Douglas County Emergency Management","Quarterly","6a0210609f78b27b0b54cdc9","Pending","6a0210989f78b27b0b54ce00","2026-05-11T17:23:36.710000","2026-05-11T17:23:36.710000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2026-06-30","UASI","2025-07-01","2026-09-30","APP-2025-NE-002","City of Omaha Emergency Management","Final","6a0210609f78b27b0b54cdc8","Pending","6a0210989f78b27b0b54cdff","2026-05-11T17:23:36.710000","2026-05-11T17:23:36.710000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2025-09-30","UASI","2025-07-01","2025-10-15","APP-2025-NE-002","City of Omaha Emergency Management","Quarterly","6a0210609f78b27b0b54cdc8","Approved","6a0210989f78b27b0b54cdfd","2026-05-11T17:23:36.709000","2026-05-11T17:23:36.709000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2025-09-30","SHSP","2025-07-01","2025-10-15","APP-2025-NE-001","Nebraska Emergency Management Agency","Quarterly","6a0210609f78b27b0b54cdc7","Approved","6a0210989f78b27b0b54cdfa","2026-05-11T17:23:36.709000","2026-05-11T17:23:36.709000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2025-12-31","SHSP","2025-10-01","2026-01-15","APP-2025-NE-001","Nebraska Emergency Management Agency","Quarterly","6a0210609f78b27b0b54cdc7","Submitted","6a0210989f78b27b0b54cdfb","2026-05-11T17:23:36.709000","2026-05-11T17:23:36.709000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2026-03-31","SHSP","2026-01-01","2026-04-15","APP-2025-NE-001","Nebraska Emergency Management Agency","Quarterly","6a0210609f78b27b0b54cdc7","Overdue","6a0210989f78b27b0b54cdfc","2026-05-11T17:23:36.709000","2026-05-11T17:23:36.709000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2026-03-31","SHSP","2026-01-01","2026-04-15","APP-2025-00009","DuPage County Emergency Management","Quarterly","6a01c94a62c4a2cbad8c59b3","Overdue","6a01c97b62c4a2cbad8c59e3","2026-05-11T12:20:11.763000","2026-05-11T12:20:11.763000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2025-12-31","UASI","2025-10-01","2026-01-15","APP-2025-00011","City of Aurora","Quarterly","6a01c94a62c4a2cbad8c59b5","Approved","6a01c97b62c4a2cbad8c59e7","2026-05-11T12:20:11.763000","2026-05-11T12:20:11.763000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2025-12-31","SHSP","2025-10-01","2026-01-15","APP-2025-00009","DuPage County Emergency Management","Quarterly","6a01c94a62c4a2cbad8c59b3","Submitted","6a01c97b62c4a2cbad8c59e2","2026-05-11T12:20:11.763000","2026-05-11T12:20:11.763000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2025-09-30","UASI","2025-07-01","2025-10-15","APP-2025-00011","City of Aurora","Quarterly","6a01c94a62c4a2cbad8c59b5","Approved","6a01c97b62c4a2cbad8c59e6","2026-05-11T12:20:11.763000","2026-05-11T12:20:11.763000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2026-06-30","UASI","2025-07-01","2026-09-30","APP-2025-00011","City of Aurora","Final","6a01c94a62c4a2cbad8c59b5","Pending","6a01c97b62c4a2cbad8c59e8","2026-05-11T12:20:11.763000","2026-05-11T12:20:11.763000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2025-12-31","SHSP","2025-10-01","2026-01-15","APP-2025-00010","City of Rockford","Quarterly","6a01c94a62c4a2cbad8c59b4","Overdue","6a01c97b62c4a2cbad8c59e5","2026-05-11T12:20:11.763000","2026-05-11T12:40:53.556000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2025-09-30","SHSP","2025-07-01","2025-10-15","APP-2025-00010","City of Rockford","Quarterly","6a01c94a62c4a2cbad8c59b4","Approved","6a01c97b62c4a2cbad8c59e4","2026-05-11T12:20:11.763000","2026-05-11T12:20:11.763000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2026-09-30","EMPG","2026-07-01","2026-10-15","APP-2026-00012","DuPage County Emergency Management","Quarterly","6a01c94a62c4a2cbad8c59b6","Pending","6a01c97b62c4a2cbad8c59e9","2026-05-11T12:20:11.763000","2026-05-11T12:20:11.763000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2025-09-30","SHSP","2025-07-01","2025-10-15","APP-2025-00009","DuPage County Emergency Management","Quarterly","6a01c94a62c4a2cbad8c59b3","Approved","6a01c97b62c4a2cbad8c59e1","2026-05-11T12:20:11.762000","2026-05-11T12:20:11.762000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2027-06-30","SHSP","2026-07-01","2027-08-29","APP-2026-00005","Integrated Solutions Consulting","Annual","69cd8225975992b7f13eb52e","Pending","69cd836c459ac4d36c523d01","2026-04-01T20:43:24.243000","2026-04-01T20:43:24.243000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2027-06-30","SHSP","2027-04-01","2027-07-30","APP-2026-00005","Integrated Solutions Consulting","Quarterly","69cd8225975992b7f13eb52e","Pending","69cd836bab6664f425836389","2026-04-01T20:43:23.900000","2026-04-01T20:43:23.900000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2027-04-01","SHSP","2027-01-01","2027-05-01","APP-2026-00005","Integrated Solutions Consulting","Quarterly","69cd8225975992b7f13eb52e","Pending","69cd836bd7eac5a3de2e6f80","2026-04-01T20:43:23.750000","2026-04-01T20:43:23.750000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2027-01-01","SHSP","2026-10-01","2027-01-31","APP-2026-00005","Integrated Solutions Consulting","Quarterly","69cd8225975992b7f13eb52e","Pending","69cd836b613c674e42c2875b","2026-04-01T20:43:23.610000","2026-04-01T20:43:23.610000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2026-10-01","SHSP","2026-07-01","2026-10-31","APP-2026-00005","Integrated Solutions Consulting","Quarterly","69cd8225975992b7f13eb52e","Pending","69cd836b9a55daaae9b57e8c","2026-04-01T20:43:23.435000","2026-04-01T20:43:23.435000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2025-09-30","UASI","2025-07-01","2025-10-30","APP-2025-00003","Cook County Office of Emergency Management","Quarterly","69cd78a1276f3069e72bfa59","Approved","69cd78be276f3069e72bfa73","2026-04-01T19:57:50.900000","2026-04-01T19:57:50.900000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2025-12-31","UASI","2025-10-01","2026-01-30","APP-2025-00003","Cook County Office of Emergency Management","Quarterly","69cd78a1276f3069e72bfa59","Approved","69cd78be276f3069e72bfa74","2026-04-01T19:57:50.900000","2026-04-01T19:57:50.900000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2026-03-31","UASI","2026-01-01","2026-04-30","APP-2025-00003","Cook County Office of Emergency Management","Quarterly","69cd78a1276f3069e72bfa59","Submitted","69cd78be276f3069e72bfa75","2026-04-01T19:57:50.900000","2026-04-01T19:57:50.900000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
"2026-06-30","UASI","2025-07-01","2026-07-31","APP-2025-00003","Cook County Office of Emergency Management","Annual","69cd78a1276f3069e72bfa59","Pending","69cd78be276f3069e72bfa76","2026-04-01T19:57:50.900000","2026-04-01T19:57:50.900000","69cd7613124bb9f9f18be5ab","lauren.martin29@gmail.com","false"
